Assessment Name,URL,Category,Remote Testing,Adaptive/IRT,Test Type
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"C, P, A, B"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, K, P"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Pre-packaged Job Solutions,Yes,No,"B, P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Pre-packaged Job Solutions,Yes,No,"B, P"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, K, P"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Pre-packaged Job Solutions,Yes,Yes,"P, S, K, B, A"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, A, P"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,Pre-packaged Job Solutions,Yes,Yes,"P, S, A, B"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,Pre-packaged Job Solutions,Yes,No,"A, B, C, P, S"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Pre-packaged Job Solutions,Yes,No,"S, B, C, P"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,Pre-packaged Job Solutions,Yes,No,"P, B, C, A, S"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Pre-packaged Job Solutions,Yes,No,"S, B, C, P"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,Pre-packaged Job Solutions,Yes,No,"A, B, P, S"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"B, P, A"
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"C, P"
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Pre-packaged Job Solutions,Yes,No,"C, P"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Pre-packaged Job Solutions,Yes,No,"C, P"
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"B, C, P"
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Pre-packaged Job Solutions,Yes,No,"P, B, C"
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Pre-packaged Job Solutions,Yes,No,"C, P, B"
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"S, A, B, P"
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"C, P, A, B"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, K, P"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Pre-packaged Job Solutions,Yes,No,"B, P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Pre-packaged Job Solutions,Yes,No,"B, P"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, K, P"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Pre-packaged Job Solutions,Yes,Yes,"P, S, K, B, A"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, A, P"
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,Pre-packaged Job Solutions,Yes,No,B
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, K, P"
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, P"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,Pre-packaged Job Solutions,Yes,No,B
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,B
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Pre-packaged Job Solutions,Yes,No,B
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B"
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,B
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Pre-packaged Job Solutions,Yes,No,B
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"A, B"
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Pre-packaged Job Solutions,Yes,No,"A, B"
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, K, P, S"
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,Pre-packaged Job Solutions,Yes,Yes,"A, B, C"
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,Pre-packaged Job Solutions,Yes,Yes,"B, C, P"
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,Pre-packaged Job Solutions,Yes,Yes,"B, C, P"
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,Pre-packaged Job Solutions,Yes,No,"B, C"
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"B, C, P"
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,Pre-packaged Job Solutions,Yes,No,"B, C, P"
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,Pre-packaged Job Solutions,Yes,No,"B, K, P"
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,Pre-packaged Job Solutions,Yes,No,"B, K, P"
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,Pre-packaged Job Solutions,Yes,No,"A, B"
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Pre-packaged Job Solutions,Yes,No,"A, B"
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,Pre-packaged Job Solutions,Yes,Yes,"P, S, K, B, A"
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,Pre-packaged Job Solutions,Yes,Yes,"S, A, B, P"
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,Pre-packaged Job Solutions,Yes,Yes,"P, A, B"
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, K, P, S"
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,Pre-packaged Job Solutions,Yes,Yes,"A, B, C"
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,Yes,"B, C, P"
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, C, P"
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,Pre-packaged Job Solutions,Yes,No,"B, C"
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,Pre-packaged Job Solutions,Yes,No,"C, B"
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,Pre-packaged Job Solutions,Yes,No,"B, K, P"
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Pre-packaged Job Solutions,Yes,No,S
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, P, S, B"
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P, S"
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, K, P, S"
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,Pre-packaged Job Solutions,Yes,No,"C, B"
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"B, C"
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, A, P"
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,Pre-packaged Job Solutions,Yes,No,"B, C"
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"B, C"
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,Pre-packaged Job Solutions,Yes,No,"C, B"
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,Pre-packaged Job Solutions,Yes,Yes,S
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,Pre-packaged Job Solutions,Yes,No,"B, C"
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"B, C, P"
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,Pre-packaged Job Solutions,Yes,No,"P, C, B"
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, P, S, B"
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,Pre-packaged Job Solutions,Yes,No,"A, B, P"
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Pre-packaged Job Solutions,Yes,No,"C, P"
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, P"
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,Pre-packaged Job Solutions,Yes,Yes,"B, K, P, S"
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,Pre-packaged Job Solutions,Yes,No,"A, B, K, P, S"
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,Pre-packaged Job Solutions,Yes,Yes,"A, B, K, P"
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Pre-packaged Job Solutions,Yes,No,B
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Pre-packaged Job Solutions,Yes,No,B
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,Pre-packaged Job Solutions,Yes,No,B
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Pre-packaged Job Solutions,Yes,No,"B, C, P"
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,Pre-packaged Job Solutions,Yes,No,"B, C, P"
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,Pre-packaged Job Solutions,Yes,Yes,"B, P"
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Individual Test Solutions,Yes,Yes,"C, P, A, B"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Individual Test Solutions,Yes,Yes,"A, K, P"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Individual Test Solutions,Yes,Yes,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Individual Test Solutions,Yes,No,"B, P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Individual Test Solutions,Yes,No,"B, P"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Individual Test Solutions,Yes,No,"A, B, K, P"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Individual Test Solutions,Yes,No,"A, B, P"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Individual Test Solutions,Yes,Yes,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Individual Test Solutions,Yes,Yes,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Individual Test Solutions,Yes,Yes,"P, S, K, B, A"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Individual Test Solutions,Yes,No,"A, B, P"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Individual Test Solutions,Yes,Yes,"B, A, P"
